2003.05.16,04:00,1.14110,1.14180,1.14080,1.14090,293
2003.05.16,05:00,1.14090,1.14140,1.13880,1.14010,361
2003.05.16,06:00,1.13990,1.14080,1.13850,1.14050,533
2003.05.16,07:00,1.14040,1.14150,1.13940,1.14100,479
2003.05.16,08:00,1.14080,1.14270,1.14010,1.14230,497
2003.05.16,09:00,1.14250,1.14380,1.14180,1.14310,499
2003.05.16,10:00,1.14310,1.14460,1.14250,1.14370,420
2003.05.16,11:00,1.14360,1.14870,1.14290,1.14860,533
2003.05.16,12:00,1.14850,1.15140,1.14770,1.14970,572
2003.05.16,13:00,1.14980,1.15520,1.14920,1.15410,589
2003.05.16,14:00,1.15430,1.15600,1.15270,1.15360,548
2003.05.16,15:00,1.15370,1.15560,1.15350,1.15460,490
2003.05.16,16:00,1.15470,1.15510,1.15350,1.15370,416
2003.05.16,17:00,1.15400,1.15640,1.15280,1.15550,399
2003.05.16,18:00,1.15540,1.15830,1.15480,1.15760,348
2003.05.16,19:00,1.15780,1.15810,1.15650,1.15750,332
2003.05.16,20:00,1.15740,1.15960,1.15720,1.15850,324
2003.05.16,21:00,1.15820,1.15970,1.15790,1.15970,171
2003.05.18,22:00,1.16730,1.16730,1.16550,1.16610,235
2003.05.18,23:00,1.16590,1.16820,1.16430,1.16750,368
2003.05.19,00:00,1.16730,1.17040,1.16540,1.16870,424
2003.05.19,01:00,1.16860,1.17140,1.16770,1.16910,432
2003.05.19,02:00,1.16920,1.17120,1.16910,1.17040,377
2003.05.19,03:00,1.17030,1.17110,1.16960,1.16980,311
2003.05.19,04:00,1.16970,1.17030,1.16880,1.16960,297
2003.05.19,05:00,1.16950,1.17020,1.16830,1.16890,384
2003.05.19,06:00,1.16880,1.17200,1.16660,1.16910,548
2003.05.19,07:00,1.16910,1.17030,1.16840,1.16950,530
2003.05.19,08:00,1.16940,1.17410,1.16870,1.17170,501
2003.05.19,09:00,1.17180,1.17250,1.17040,1.17120,517
2003.05.19,10:00,1.17110,1.17270,1.16880,1.16960,511
2003.05.19,11:00,1.16950,1.16990,1.16570,1.16650,554
2003.05.19,12:00,1.16660,1.16810,1.16300,1.16770,584
2003.05.19,13:00,1.16770,1.16880,1.16600,1.16810,585
2003.05.19,14:00,1.16830,1.17080,1.16670,1.16850,645
2003.05.19,15:00,1.16830,1.16990,1.16800,1.16840,534
2003.05.19,16:00,1.16860,1.17000,1.16780,1.16820,508
2003.05.19,17:00,1.16820,1.16840,1.16390,1.16690,442
2003.05.19,18:00,1.16660,1.16690,1.16220,1.16520,553
2003.05.19,19:00,1.16520,1.16670,1.16480,1.16620,388
2003.05.19,20:00,1.16620,1.16630,1.16420,1.16550,377
2003.05.19,21:00,1.16490,1.16630,1.16430,1.16480,370
2003.05.19,22:00,1.16490,1.16540,1.16380,1.16450,312
2003.05.19,23:00,1.16430,1.16450,1.16260,1.16330,402
2003.05.20,00:00,1.16320,1.16520,1.16310,1.16430,424
2003.05.20,01:00,1.16440,1.16660,1.16420,1.16590,434
2003.05.20,02:00,1.16580,1.16700,1.16530,1.16580,393
2003.05.20,03:00,1.16580,1.16650,1.16520,1.16550,266
2003.05.20,04:00,1.16550,1.16710,1.16530,1.16650,370
